#J,E0,E1,E2
-2,-66.2611,-64.2097,-66.2611
-1.9,-63.3868,-63.3868,-61.4435
-1.8,-60.538,-58.7064,-60.538
-1.7,-57.7191,-57.7191,-56.0051
-1.6,-54.936,-54.936,-53.349
-1.5,-52.1961,-52.1961,-50.7519
-1.4,-49.5089,-49.5089,-48.2378
-1.3,-46.8872,-46.8872,-45.8051
-1.2,-44.3485,-44.3485,-43.4748
-1.1,-41.9173,-41.9173,-41.2416
-1,-39.6298,-39.6298,-39.1492
-0.9,-37.5434,-37.5434,-37.2508
-0.8,-35.7677,-35.7597,-35.6269
-0.7,-34.5216,-34.4048,-34.3535
-0.6,-33.6916,-33.4214,-33.3958
-0.5,-33.0996,-32.6838,-32.658
-0.4,-32.6702,-32.1199,-32.1112
-0.3,-32.3639,-31.6889,-31.6773
-0.2,-32.1579,-31.3657,-31.3658
-0.1,-32.0389,-31.1391,-31.1379
6.38378e-16,-32,-31,-31
0.1,-32.0389,-31.1403,-31.1348
0.2,-32.1579,-31.3647,-31.3586
0.3,-32.3639,-31.6856,-31.6879
0.4,-32.6702,-32.12,-32.0995
0.5,-33.0996,-32.6839,-32.6501
0.6,-33.6916,-33.4214,-33.3958
0.7,-34.5216,-34.4048,-34.3535
0.8,-35.7677,-35.7597,-35.6276
0.9,-37.5434,-37.5434,-37.2508
1,-39.6298,-39.6298,-39.1492
1.1,-41.9173,-41.9173,-41.2416
1.2,-44.3485,-44.3485,-43.4748
1.3,-46.8872,-46.8872,-45.8143
1.4,-49.5089,-49.5089,-48.2385
1.5,-52.1961,-52.1961,-50.752
1.6,-54.936,-54.936,-53.349
1.7,-57.7191,-57.7191,-56.0051
1.8,-60.538,-60.538,-58.7064
1.9,-63.3868,-61.4435,-63.3868
