#J,E0,E1,E2
-2,-15.2812,-15.2695,-12.9323
-1.9,-14.6537,-14.6375,-12.4833
-1.8,-14.0355,-14.0129,-12.0388
-1.7,-13.4289,-13.397,-11.5997
-1.6,-12.8365,-12.791,-11.1664
-1.5,-12.2621,-12.1966,-10.7399
-1.4,-11.71,-11.6156,-10.321
-1.3,-11.1861,-11.05,-9.91064
-1.2,-10.6961,-10.5021,-9.51006
-1.1,-10.2455,-9.97429,-9.12048
-1,-9.83795,-9.46888,-8.7433
-0.9,-9.47467,-8.98816,-8.38001
-0.8,-9.15509,-8.53416,-8.03221
-0.7,-8.87768,-8.10856,-7.70154
-0.6,-8.64069,-7.71266,-7.38967
-0.5,-8.44257,-7.34745,-7.09824
-0.4,-8.28205,-7.01359,-6.82885
-0.3,-8.15814,-6.71157,-6.58298
-0.2,-8.07013,-6.44176,-6.36204
-0.1,-8.01751,-6.20447,-6.16731
6.38378e-16,-8,-6,-6
0.1,-8.01751,-6.20447,-6.16731
0.2,-8.07013,-6.44176,-6.36204
0.3,-8.15814,-6.71157,-6.58298
0.4,-8.28205,-7.01359,-6.82885
0.5,-8.44257,-7.34745,-7.09824
0.6,-8.64069,-7.71266,-7.38967
0.7,-8.87768,-8.10856,-7.70154
0.8,-9.15509,-8.53416,-8.03221
0.9,-9.47467,-8.98816,-8.38001
1,-9.83795,-9.46888,-8.7433
1.1,-10.2455,-9.97429,-9.12048
1.2,-10.6961,-10.5021,-9.51006
1.3,-11.1861,-11.05,-9.91064
1.4,-11.71,-11.6156,-10.321
1.5,-12.2621,-12.1966,-10.7399
1.6,-12.8365,-12.791,-11.1664
1.7,-13.4289,-13.397,-11.5997
1.8,-14.0355,-14.0129,-12.0388
1.9,-14.6537,-14.6375,-12.4833
2,-15.2812,-15.2695,-12.9323
